"annee","incidence_moyenne"
2000,0.347310909642036
2001,0.408621716350098
2002,0.470045961469785
2003,0.519428887304374
2004,0.587366393579387
2005,0.656913562934292
2006,0.677513132124196
2007,0.66660630785269
2008,0.598559586449207
2009,0.54320781848178
2010,0.500579864851066
2011,0.448420251880132
2012,0.416424663128422
2013,0.409861038849087
2014,0.420211477051537
2015,0.445014193643087
2016,0.472497408940774
2017,0.456577402066346
2018,0.431309054154403
2019,0.418491138658309
2020,0.378175719502617
2021,0.374665527822606
2022,0.38847343874094
2023,0.394950121715226
2024,0.398892316596914
