"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2000,258.35341722966797
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2001,271.481633112988
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2002,247.488238740204
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2003,250.98226462831002
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2004,261.527788393973
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2005,287.554469701581
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2006,325.945889597377
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2007,358.724292389567
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2008,404.999596075843
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2009,465.607202639437
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2010,493.629062407627
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2011,467.71342323503103
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2012,415.66074089565603
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2013,353.27870915958596
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2014,318.48273598862096
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2015,302.045830239579
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2016,290.026564661338
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2017,287.21011737832
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2018,288.066817997172
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2019,267.627093149574
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2020,240.718596458038
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2021,215.57310805018102
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2022,198.953752625048
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2023,190.733724008865
"TCD","Chad","Logone Oriental","admin1","Incidence Rate","Cases per Thousand",2024,191.040232367433
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2000,19.9148327880126
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2001,21.0361657326919
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2002,18.1120088883786
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2003,18.215478823715
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2004,19.212759642309
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2005,21.561462721166798
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2006,25.058344541112
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2007,28.3408837550351
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2008,33.072539841682904
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2009,39.394114519457204
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2010,42.3935019656062
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2011,39.4889990777379
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2012,34.0495940494674
"TCD","Chad","Logone Oriental","admin1","Infection Prevalence","per 100 Children",2013,28.1367881945734
