CC_1,COUNTRY,ENGTYPE_1,GID_0,GID_1,HASC_1,ISO_1,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,nb_culte,nb_ecoles,nb_sante
NA,Chad,Region,TCD,TCD.23_1,TD.BI,NA,Wadi Fira,NA,Région,Biltine,2,3,14
NA,Chad,Region,TCD,TCD.3_1,TD.BR,NA,Borkou,NA,Région,Borkou,3,9,4
NA,Chad,Region,TCD,TCD.7_1,TD.GR,NA,Guéra,NA,Région,Guera|Baguirmi,4,14,4
NA,Chad,Region,TCD,TCD.11_1,TD.LO,NA,Logone Occidental,NA,Région,Logone-Occidental,7,7,5
NA,Chad,Region,TCD,TCD.12_1,TD.LR,NA,Logone Oriental,NA,Région,Logone-Oriental,13,14,14
NA,Chad,Region,TCD,TCD.22_1,TD.NJ,NA,Ville de N'Djamena,NA,Région,N'Djamena,33,115,105
NA,Chad,Region,TCD,TCD.1_1,TD.BG,NA,Barh el Ghazel,NA,Région,NA,6,3,11
NA,Chad,Region,TCD,TCD.2_1,TD.BA,NA,Batha,NA,Région,NA,1,0,7
NA,Chad,Region,TCD,TCD.5_1,TD.EE,NA,Ennedi Est,NA,Région,NA,0,0,0
NA,Chad,Region,TCD,TCD.6_1,TD.EO,NA,Ennedi Ouest,NA,Région,NA,0,1,0
NA,Chad,Region,TCD,TCD.8_1,TD.HD,NA,Hadjer-Lamis,NA,Région,NA,7,4,28
NA,Chad,Region,TCD,TCD.9_1,TD.KM,NA,Kanem,NA,Région,NA,1,4,5
NA,Chad,Region,TCD,TCD.13_1,TD.MA,NA,Mandoul,NA,Région,NA,0,2,3
NA,Chad,Region,TCD,TCD.14_1,TD.ME,NA,Mayo-Kebbi Est,NA,Région,NA,12,9,24
NA,Chad,Region,TCD,TCD.15_1,TD.MW,NA,Mayo-Kebbi Ouest,NA,Région,NA,6,15,9
NA,Chad,Region,TCD,TCD.16_1,TD.MC,NA,Moyen-Chari,NA,Région,NA,5,13,13
NA,Chad,Region,TCD,TCD.18_1,TD.SA,NA,Salamat,NA,Région,NA,2,10,7
NA,Chad,Region,TCD,TCD.21_1,TD.TI,NA,Tibesti,NA,Région,NA,0,2,1
NA,Chad,Region,TCD,TCD.17_1,TD.OA,NA,Ouaddaï,NA,Région,Ouaddai|Ouadaï,2,10,19
NA,Chad,Region,TCD,TCD.20_1,TD.TA,NA,Tandjilé,NA,Région,Tandjile,5,5,5
NA,Chad,Region,TCD,TCD.4_1,TD.CB,TD-CB,Chari-Baguirmi,NA,Région,NA,20,22,8
NA,Chad,Region,TCD,TCD.10_1,TD.LC,TD-LC,Lac,NA,Région,NA,0,28,39
NA,Chad,Region,TCD,TCD.19_1,TD.SI,TD-SI,Sila,NA,Région,NA,0,4,12
