Région;V_2017;V_2022;Pop_2017;Pop_2022;ΔV_km2;ΔPop;Taux_V_%;Taux_Pop_%;Densité_2017;Densité_2022;ΔDensité;LCR;PGR;LCRPGR;BuiltUp_per_capita_2017;BuiltUp_per_capita_2022;Total_BuiltUp_Change_%;LCR_%;PGR_%
Dar es Salaam;994,413;1102,753;4286810;4764805;108,33999999999992;477995;10,894869636660012;11,150365889787512;4310,894970198499;4320,827057373683;9,93208717518337;0,021789739273320022;0,02114274925452681;1,030601035419019;231,97039290288117;231,43717318966884;10,894869636660012;2,1789739273320023;2,114274925452681
Arusha;652,003;824,993;1784294;2088349;172,99;304055;26,532086508804408;17,040633438211415;2736,6346473865915;2531,3535993638734;-205,2810480227181;0,053064173017608816;0,03147019657212611;1,6861722771890468;365,4123143383321;395,04555991359683;26,532086508804408;5,306417301760882;3,147019657212611
Dodoma;501,863;769,402;2260916;2718242;267,53900000000004;457326;53,309170032459065;20,227465328212105;4505,046197866748;3532,9281701893156;-972,1180276774326;0,10661834006491813;0,03684306138369926;2,893851272415979;221,97330639439943;283,0513250843744;53,309170032459065;10,661834006491814;3,6843061383699265
Geita;303,588;556,788;2007526;2610218;253,2;602692;83,40250602790623;30,021628611534794;6612,665849770083;4687,992557310861;-1924,6732924592216;0,16680501205581247;0,05250612491275317;3,176867695587593;151,22494054871518;213,31091885811836;83,40250602790623;16,680501205581248;5,250612491275318
Iringa;538,519;690,37;956556;1072492;151,851;115936;28,197890882215855;12,120147696527962;1776,2715893032557;1553,5031939394817;-222,76839536377406;0,056395781764431704;0,022880171523045435;2,464832123641581;562,9769715521098;643,7064332414601;28,197890882215855;5,6395781764431705;2,2880171523045436
Kagera;650,316;1125,072;2414470;2657979;474,75599999999986;243509;73,00389349177937;10,085401765190705;3712,7642561462426;2362,496800204787;-1350,2674559414554;0,1460077869835587;0,019217251652214207;7,597745485459973;269,3410976321926;423,2809965767224;73,00389349177937;14,600778698355871;1,9217251652214207
Katavi;426,264;470,66;742184;1031896;44,396000000000015;289712;10,415141790064377;39,0350640811443;1741,13694799467;2192,4446521905406;451,30770419587066;0,020830283580128752;0,06591119498141619;0,3160355928306549;574,3373610856607;456,1118562335739;10,415141790064377;2,083028358012875;6,5911194981416195
Kigoma;472,152;612,64;2100753;2228911;140,488;128158;29,75482471746387;6,1005744130795;4449,315051085244;3638,20677722643;-811,1082738588138;0,05950964943492774;0,011843454700213888;5,024686710192172;224,75369546062768;274,86068308694246;29,75482471746387;5,950964943492774;1,184345470021389
Kilimanjaro;866,958;1033,369;1507094;1592363;166,41099999999994;85269;19,19481681926921;5,657842178390996;1738,3702555371772;1540,9432642163642;-197,42699132081293;0,038389633638538416;0,01100715664527506;3,4876975840093616;575,2514441700386;648,9531595496754;19,19481681926921;3,8389633638538414;1,100715664527506
Lindi;859,01;937,182;873940;1018519;78,17200000000003;144579;9,100243303337566;16,54335537908781;1017,3804728699316;1086,7889054634;69,40843259346832;0,018200486606675132;0,030618633392810755;0,5944251780665234;982,9164473533652;920,1418922965601;9,100243303337566;1,8200486606675133;3,0618633392810755
Manyara;574,687;663,565;1458982;1672254;88,87800000000004;213272;15,465462068917521;14,617863688517064;2538,741958666196;2520,105792198202;-18,636166467993917;0,03093092413783504;0,027286696950618233;1,1335532546798135;393,8958808264941;396,80873838543664;15,465462068917521;3,093092413783504;2,728669695061823
Mara;432,642;581,165;1806584;2097983;148,52299999999997;291399;34,32930690963891;16,12983398502367;4175,701850490706;3609,961026558723;-565,7408239319834;0,06865861381927782;0,029907727541411806;2,29568139953828;239,48069948588054;277,0113008542014;34,32930690963891;6,865861381927782;2,990772754141181
Mbeya;688,557;817,244;1798302;2090247;128,687;291945;18,689375026323166;16,23448119392627;2611,69663513696;2557,678000695019;-54,01863444194123;0,037378750052646334;0,03008787089241981;1,2423195441875998;382,8928622667383;390,97963063695346;18,689375026323166;3,7378750052646335;3,0087870892419812
Morogoro;1196,765;1522,402;2415602;2876382;325,63699999999994;460780;27,209769670737355;19,075162216292256;2018,4430527296502;1889,3708757608042;-129,07217696884595;0,05441953934147471;0,034916944600286;1,558542420147179;495,4313665910195;529,2767094217667;27,209769670737355;5,441953934147471;3,4916944600286
Mtwara;396,556;509,006;1263616;1421751;112,44999999999999;158135;28,35665076307003;12,514482247771475;3186,4755545244557;2793,1910429346613;-393,2845115897944;0,056713301526140056;0,02358235169250991;2,404904407568182;313,8263523095624;358,0134636796457;28,35665076307003;5,671330152614005;2,3582351692509906
Mwanza;623,762;917,285;2856055;3310208;293,523;454153;47,056890288283036;15,901409461652523;4578,757603060142;3608,701766626512;-970,0558364336302;0,09411378057656608;0,02951394505975823;3,1887902612141352;218,39985574507494;277,1079642125208;47,056890288283036;9,411378057656608;2,951394505975823
