system:index,Annee,Code_Dept,Departement,EVI,LST,MDVI,NDMI,NDVI,NDWI,Pays,Region,Saison,.geo
000000000000000012a8,2022,22551,Arlit,0.10619384878291939,45.82749694123524,0.39018207305854774,-0.12124567149301507,0.06542234078440322,-0.22340508544776344,Niger,Agadez,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012a9,2022,22552,Bilma,0.09225316063596313,46.74104585864108,0.38440294429659805,-0.1184293983307753,0.05860261476907838,-0.22011737644506352,Niger,Agadez,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012aa,2022,22553,Tchighozerine,0.12004949985136869,44.18146658904623,0.39549602240436155,-0.099066063547595,0.07179774643456438,-0.22410651240261742,Niger,Agadez,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ab,2022,22554,Diffa,-120.05668083288312,35.752776859219146,0.5079694271880457,-0.07406006784449821,0.21423733546960189,-0.2744563471150559,Niger,Diffa,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ac,2022,22555,Maine-soroa,0.30920700900041376,37.16950370358435,0.45788452904755467,-0.09814989428307312,0.14867883429955717,-0.2728776752645071,Niger,Diffa,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ad,2022,22556,N'guigmi,-14.840539204075558,43.391177473485186,0.3897672418656147,-0.09516923181869996,0.06538651979693794,-0.19061114024771145,Niger,Diffa,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012ae,2022,22557,Birni N'gaoure,0.3804073730442893,35.76540553749157,0.4755083103363584,-0.0914426794576811,0.17091029014829978,-0.2858937657005727,Niger,Dosso,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012af,2022,22558,Dogondoutchi,0.17013170526344384,35.520259164362336,0.4173661942564369,-0.11237930172229194,0.0983582413391452,-0.249028999430616,Niger,Dosso,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b0,2022,22559,Dosso,0.45102029614705336,34.47072809498816,0.498912353008637,-0.05056783863357309,0.2007493727565278,-0.3111367443520044,Niger,Dosso,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b1,2022,22560,Gaya,0.5694513662938464,33.38571078898074,0.5101312584331011,-0.056725658764063644,0.2159824456066738,-0.3076385614218144,Niger,Dosso,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b2,2022,22561,Loga,0.20538677346591347,36.08913174083073,0.432434541847089,-0.10149959347737128,0.11636592439720794,-0.2669543889934165,Niger,Dosso,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b3,2022,22562,Aguie,0.341204656815563,34.65604562129689,0.4740754373020982,-0.08274485161860529,0.16821541680936006,-0.2799058696598386,Niger,Maradi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b4,2022,22563,Dakoro,0.27908971382980835,35.985569877743,0.45578495955176573,-0.09773875125744894,0.14557436607318835,-0.2701333369765835,Niger,Maradi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b5,2022,22564,Guidan Roumji,0.21675499670272483,34.23902794972306,0.4364347543748806,-0.10143247690955152,0.12140023183289654,-0.247137067158047,Niger,Maradi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000012b6,2022,22565,Madarounfa,0.492520617583427,32.76843603412708,0.5045744827658026,-0.05307091751985548,0.20849347654871148,-0.3022907062424921,Niger,Maradi,Juin-Septembre,"{""type"":""MultiPoint"",""coordinates"":[]}"
