shapeName,NDMI
Bamako,-0.080646664
Ansongo,-0.15122047
Bourem,-0.13282137
Gao,-0.15297382
Menaka,-0.12576668
Bafoulabe,-0.12787999
Diema,-0.14594474
Kayes,-0.14775878
Kenieba,-0.100756034
Kita,-0.12439521
Nioro,-0.1456377
Yelimane,-0.12715685
Abeibara,-0.1364705
Kidal,-0.13567434
Tessalit,-0.1377566
Tin-Essako,-0.1283619
Banamba,-0.15785858
Dioila,-0.14592096
Kangaba,-0.115572125
Kati,-0.12308867
Kolokani,-0.15450029
Koulikoro,-0.15492044
Nara,-0.15658887
Bandiagara,-0.17805809
Bankass,-0.16768396
Djenne,-0.128046
Douentza,-0.17102775
Koro,-0.15896392
Mopti,-0.11672584
Tenenkou,-0.13991049
Youwarou,-0.11241104
Baroueli,-0.1597866
Bla,-0.1609994
Macina,-0.15078841
Niono,-0.13598244
San,-0.15860075
Segou,-0.16035502
Tominian,-0.17165312
Bougouni,-0.10567981
Kadiolo,-0.08024477
Kolondieba,-0.10004445
Koutiala,-0.14840172
Sikasso,-0.105441995
Yanfolila,-0.08594722
Yorosso,-0.15567078
Dire,-0.10702522
Goundam,-0.10354949
Gourma-Rharous,-0.14890988
Niafunke,-0.13287283
Tombouctou,-0.11828273
