shapeName,NDWI
Bamako,-0.2911615
Ansongo,-0.30468404
Bourem,-0.30347162
Gao,-0.31351838
Menaka,-0.30194837
Bafoulabe,-0.37817526
Diema,-0.36992928
Kayes,-0.36332738
Kenieba,-0.42615122
Kita,-0.40761667
Nioro,-0.35707137
Yelimane,-0.3399934
Abeibara,-0.2727748
Kidal,-0.28893706
Tessalit,-0.27478802
Tin-Essako,-0.28431776
Banamba,-0.3876076
Dioila,-0.39534876
Kangaba,-0.42157882
Kati,-0.41184804
Kolokani,-0.37109512
Koulikoro,-0.37758914
Nara,-0.35720617
Bandiagara,-0.34905794
Bankass,-0.36816046
Djenne,-0.34921664
Douentza,-0.32129952
Koro,-0.34465116
Mopti,-0.3425925
Tenenkou,-0.3409335
Youwarou,-0.2921608
Baroueli,-0.3871943
Bla,-0.35985076
Macina,-0.31885198
Niono,-0.34843105
San,-0.34711453
Segou,-0.34085256
Tominian,-0.38038784
Bougouni,-0.45123455
Kadiolo,-0.46301278
Kolondieba,-0.45143577
Koutiala,-0.38586956
Sikasso,-0.43487933
Yanfolila,-0.43964133
Yorosso,-0.39744946
Dire,-0.25445363
Goundam,-0.29255348
Gourma-Rharous,-0.32263616
Niafunke,-0.27757475
Tombouctou,-0.30098698
