country;hhid;year;grappe;menage;vague;PanelHH;logem;mur;toit;sol;eauboi_ss;eauboi_sp;elec_ac;elec_ur;elec_ua;ordure;toilet;eva_toi;eva_eau;s11q33;s11q37;tv;fer;frigo;cuisin;ordin;decod;car;superf;grosrum;petitrum;porc;lapin;volail;sh_id_demo;sh_co_natu;sh_co_eco;sh_id_eco;sh_co_vio;sh_co_oth
MLI;1001;2021;1;1;1;1;4;1;1;1;1;1;0;0;1;0;0;0;0;4;3;1;0;0;0;1;1;1;;0;5;0;0;15;0;0;0;0;0;0
MLI;1002;2021;1;2;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;4;3;1;0;0;0;0;1;0;1.60950005054474;8;5;0;0;8;0;1;0;0;0;0
MLI;1003;2021;1;3;1;1;2;1;1;1;1;0;0;0;1;0;0;0;0;4;3;1;0;0;0;0;0;0;4.83595407009125;;;;;;1;1;0;0;0;0
MLI;1004;2021;1;4;1;1;2;1;1;1;1;0;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;2.43106770515442;2;0;0;0;0;0;1;0;0;0;0
MLI;1005;2021;1;5;1;1;2;1;1;1;1;1;0;0;1;0;1;1;1;4;3;0;0;1;0;0;0;0;;26;12;0;0;0;0;1;0;0;0;0
MLI;1006;2021;1;6;1;1;2;1;1;1;1;1;0;0;1;0;1;0;0;4;3;0;0;0;0;0;0;0;2.79313981533051;;;;;;0;1;0;0;0;0
MLI;1007;2021;1;7;1;1;2;1;1;1;1;1;0;0;1;0;1;1;0;4;3;0;0;0;0;0;0;0;;;;;;;0;1;0;0;0;0
MLI;1008;2021;1;8;1;1;2;1;1;1;0;0;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;2.25869989395142;;;;;;0;1;0;0;0;0
MLI;1009;2021;1;9;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0.724900007247925;;;;;;0;0;0;0;0;0
MLI;1010;2021;1;10;1;2;1;1;1;1;1;1;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;1.10959994792938;;;;;;0;1;0;0;0;0
MLI;1011;2021;1;11;1;1;2;1;1;1;1;1;0;0;1;0;0;1;0;4;3;0;0;0;0;0;0;0;1.30920004844666;6;4;0;0;16;0;1;0;0;0;0
MLI;1012;2021;1;12;1;2;2;1;1;1;1;0;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;2.99900007247925;;;;;;1;1;1;0;0;0
MLI;2001;2021;2;1;1;1;4;1;1;0;0;0;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;;;;;;;0;0;1;0;0;0
MLI;2002;2021;2;2;1;1;2;1;0;0;1;1;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0.990799978375435;1;3;0;0;0;0;1;0;0;1;0
MLI;2003;2021;2;3;1;1;2;1;1;0;1;1;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;2.51145428419113;3;3;0;0;20;0;1;0;0;1;0
MLI;2004;2021;2;4;1;2;2;1;1;0;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;5.68611925840378;3;5;0;0;0;0;0;0;0;1;0
MLI;2005;2021;2;5;1;2;2;1;1;1;1;1;0;0;1;0;0;0;1;4;3;0;0;0;0;0;0;0;3.6119059920311;4;20;0;0;25;0;1;0;0;0;0
MLI;2006;2021;2;6;1;2;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1.80350005626678;;;;;;0;1;0;0;0;0
MLI;2007;2021;2;7;1;1;2;1;1;1;1;1;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;3.79851984977722;30;16;0;0;10;1;1;0;0;0;0
MLI;2008;2021;2;8;1;1;2;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1.82520627975464;20;0;0;0;0;0;1;0;0;0;0
MLI;2009;2021;2;9;1;2;2;1;1;0;1;1;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0.870400011539459;;;;;;0;1;0;0;0;0
MLI;2010;2021;2;10;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;4;4;0;0;0;0;0;0;0;1.04199996590614;;;;;;0;1;0;0;0;0
MLI;2011;2021;2;11;1;2;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0.923600018024445;;;;;;0;1;1;0;0;0
MLI;2012;2021;2;12;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;2.50430011749268;;;;;;0;1;1;0;0;0
MLI;5001;2021;5;1;1;2;2;1;1;1;1;1;0;0;1;0;0;1;0;4;3;0;0;0;0;0;0;0;0.943200007081032;0;3;0;0;0;0;0;1;0;0;0
MLI;5002;2021;5;2;1;1;2;1;1;0;0;0;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0.790549367666245;;;;;;1;1;0;0;0;0
MLI;5003;2021;5;3;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;0;1;0;0;1;0;;;;;;;0;1;1;0;0;0
MLI;5004;2021;5;4;1;2;2;1;1;1;1;1;0;0;1;0;1;1;0;4;3;0;0;0;0;0;0;0;0.724300026893616;2;0;0;0;0;0;0;0;0;0;0
MLI;5005;2021;5;5;1;2;1;1;1;1;0;1;0;0;1;0;0;0;0;4;3;1;0;0;0;0;0;0;2.58903104066849;;;;;;0;1;1;0;0;0
MLI;5006;2021;5;6;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0.797100007534027;;;;;;0;1;0;0;0;0
MLI;5007;2021;5;7;1;1;2;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;4.77849936485291;4;10;0;0;0;0;1;0;0;0;0
MLI;5008;2021;5;8;1;2;4;1;1;0;1;1;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0.254700005054474;;;;;;0;1;0;0;0;0
MLI;5009;2021;5;9;1;1;2;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3.27325987815857;26;6;0;0;0;0;1;1;0;0;0
