NAME_1,NAME_2,mean
Saint-Louis,Dagana,0.19816269888758625
Saint-Louis,Podor,0.24132181511085032
Saint-Louis,Saint-Louis,0.21637675806823178
Sédhiou,Bounkiling,0.16810648378954704
Sédhiou,Goudomp,0.014757399246440624
Sédhiou,Sédhiou,0.09956963798075219
Tambacounda,Bakel,0.20539887033054374
Tambacounda,Goudiry,0.19176436074431497
Tambacounda,Koupentoum,0.215438047131686
Tambacounda,Tambacounda,0.15881732968228357
Thiès,Mbour,0.2303018063119189
Thiès,Thiès,0.22032014546965695
Thiès,Tivaouane,0.22768560809925995
Ziguinchor,Bignona,0.01321655219949652
Ziguinchor,Oussouye,-0.10323674451461123
Ziguinchor,Ziguinchor,-0.06947919634430133
Dakar,Dakar,0.12814175274138634
Dakar,Guédiawaye,0.15569608102125054
Dakar,Pikine,0.15562538921024346
Dakar,Rufisque,0.20168838168763203
Diourbel,Bambey,0.2424843830916063
Diourbel,Diourbel,0.2331491924976697
Diourbel,Mbacké,0.22160199149323748
Fatick,Fatick,0.18690671487549407
Fatick,Foundiougne,0.05798587821374194
Fatick,Gossas,0.22850037744876206
Kaffrine,Birkilane,0.22793783397453926
Kaffrine,Kaffrine,0.22276549972149756
Kaffrine,Koungheul,0.21966775567846636
Kaffrine,Malème Hodar,0.21215784700647708
Kaolack,Guinguinéo,0.2207457352978297
Kaolack,Kaolack,0.1993869866491095
Kaolack,Nioro du Rip,0.2232521877356023
Kédougou,Kédougou,0.14707691472480755
Kédougou,Salémata,0.14682925535658858
Kédougou,Saraya,0.15751619034223094
Kolda,Kolda,0.08798703353801493
Kolda,Médina Yoro Foula,0.1377374475293438
Kolda,Vélingara,0.09119063184561242
Louga,Kébémer,0.24027792140523235
Louga,Linguère,0.23081885540676172
Louga,Louga,0.24239173083630236
Matam,Kanel,0.22261508103914673
Matam,Matam,0.22365562368401076
Matam,Ranérou Ferlo,0.22845414719434742
