Departement,BAI_moyen,Interpretation
Oussouye,83.8124,Zones brûlées probables
Saraya,62.8045,Zones brûlées probables
Kédougou,56.9114,Zones brûlées probables
Salémata,52.3954,Zones brûlées probables
Pikine,48.5536,Végétation sèche
Bakel,48.41,Végétation sèche
Bignona,42.7544,Végétation sèche
Ziguinchor,40.0809,Végétation sèche
Tambacounda,39.7735,Végétation sèche
Dakar,39.5313,Végétation sèche
Foundiougne,38.3291,Végétation sèche
Goudiry,36.6335,Végétation sèche
Guédiawaye,35.0163,Végétation sèche
Sédhiou,33.8821,Végétation sèche
Vélingara,33.6007,Végétation sèche
Kolda,31.3705,Végétation sèche
Goudomp,30.6058,Végétation sèche
Nioro du Rip,29.6265,Végétation sèche
Bounkiling,29.5605,Végétation sèche
Médina Yoro Foula,29.3537,Végétation sèche
Saint-Louis,27.5766,Végétation sèche
Fatick,22.3283,Végétation sèche
Dagana,21.6647,Végétation sèche
Koupentoum,20.7052,Végétation sèche
Kaolack,17.3393,Végétation sèche
Rufisque,17.2017,Végétation sèche
Mbour,16.909,Végétation sèche
Koungheul,15.8883,Végétation sèche
Kanel,14.5692,Végétation sèche
Matam,14.4006,Végétation sèche
Malème Hodar,11.5767,Végétation sèche
Kaffrine,11.3273,Végétation sèche
Ranérou Ferlo,11.0708,Végétation sèche
Tivaouane,11.0284,Végétation sèche
Birkilane,11.0224,Végétation sèche
Diourbel,10.8723,Végétation sèche
Thiès,10.7083,Végétation sèche
Guinguinéo,10.3689,Végétation sèche
Podor,9.808,Non brûlé
Mbacké,9.2656,Non brûlé
Gossas,8.7806,Non brûlé
Louga,8.5346,Non brûlé
Bambey,8.2228,Non brûlé
Linguère,7.4161,Non brûlé
Kébémer,6.3576,Non brûlé
