CODE_REGION,NOM_REGION,CODE_DEPT,NOM_DEPT,PCT_BATI,NDBI_MOYEN,SEUIL_NDBI,IMAGES_DISPONIBLES,DIAGNOSTIC,STRATEGIE,PERIODE,MASQUE_SCL,METHODE_COMPOSITE,DATE_TRAITEMENT
SEN.10_1,Saint-Louis,SEN.10.1_1,Dagana,33.44088405969379,-0.10955547822058306,0,27,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:01:33
SEN.10_1,Saint-Louis,SEN.10.2_1,Podor,35.08772774071516,-0.08642233598486247,0,52,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:02:01
SEN.10_1,Saint-Louis,SEN.10.3_1,Saint-Louis,76.601258597252,0.07325087886627395,0,1,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:02:09
SEN.11_1,Sédhiou,SEN.11.1_1,Bounkiling,46.90257175551588,-0.012170697983841456,0,17,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:02:32
SEN.11_1,Sédhiou,SEN.11.2_1,Goudomp,16.056777293331788,-0.09100760934686286,0,29,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:03:00
SEN.11_1,Sédhiou,SEN.11.3_1,Sédhiou,19.59045489697244,-0.05798221154744394,0,29,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:03:27
SEN.12_1,Tambacounda,SEN.12.1_1,Bakel,67.35285947190776,0.03032728861048903,0,52,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:04:11
SEN.12_1,Tambacounda,SEN.12.2_1,Goudiry,59.623809330355556,-0.007289042183387586,0,75,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:04:50
SEN.12_1,Tambacounda,SEN.12.3_1,Koupentoum,32.63367109927533,-0.050709552715697666,0,29,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:05:14
SEN.12_1,Tambacounda,SEN.12.4_1,Tambacounda,34.4293819649337,-0.05188011373938436,0,101,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:06:03
SEN.13_1,Thiès,SEN.13.1_1,Mbour,56.29184026230036,-0.03812028348924632,0,14,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:06:17
SEN.13_1,Thiès,SEN.13.2_1,Thiès,82.23297701462292,0.042489216665007205,0,5,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:06:26
SEN.13_1,Thiès,SEN.13.3_1,Tivaouane,86.40619673385135,0.05988657772159179,0,8,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:06:40
SEN.14_1,Ziguinchor,SEN.14.1_1,Bignona,13.80116241297809,-0.1499693606417869,0,42,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:07:08
SEN.14_1,Ziguinchor,SEN.14.2_1,Oussouye,9.629618801366044,-0.263433964785228,0,19,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:07:19
SEN.14_1,Ziguinchor,SEN.14.3_1,Ziguinchor,6.294828364960583,-0.19726501547749337,0,27,OK,UNIFORME_4_6_7,2018-01-01_2018-12-31,"4,6,7",MOYENNE,2025-12-22 14:07:47
