DEPARTEMENT,NDTI
KOUNGHEUL,0.18678060611355266
KOUPENTOUM,0.18590884019709084
DIOURBEL,0.17977462474572947
MALÈME HODAR,0.1774550935721106
MBACKÉ,0.1756843921692551
KAFFRINE,0.17550641651196194
KANEL,0.17463607912005355
RANÉROU FERLO,0.17406544532387108
GOSSAS,0.16896230029918252
GUINGUINÉO,0.1687419910002993
PODOR,0.16810946075095753
LINGUÈRE,0.16739448346921354
BIRKILANE,0.15920460931406066
MATAM,0.15510354805357515
BAKEL,0.15394579805764613
NIORO DU RIP,0.150873239470958
GOUDIRY,0.1508683199571151
BAMBEY,0.14915061231631296
LOUGA,0.1430038445705147
KÉBÉMER,0.140430247989769
KAOLACK,0.1321240571689561
MBOUR,0.12901639832953624
FATICK,0.12705307510518393
TAMBACOUNDA,0.12466109781707482
BOUNKILING,0.11217847374156782
DAGANA,0.11000893559477273
THIÈS,0.10964715157007317
TIVAOUANE,0.10758372589100199
SARAYA,0.10481414790793536
KÉDOUGOU,0.09641884842994974
MÉDINA YORO FOULA,0.09154725047413348
SALÉMATA,0.09151322295780415
RUFISQUE,0.07788120395690587
SAINT-LOUIS,0.07665631387300961
PIKINE,0.0669525524381059
KOLDA,0.06461239949529007
SÉDHIOU,0.06055748853858554
VÉLINGARA,0.060437514309121934
FOUNDIOUGNE,0.04879240561722793
GUÉDIAWAYE,0.034455509199456745
BIGNONA,0.021344726949280787
DAKAR,0.01943672802862981
GOUDOMP,0.0014235965575066188
OUSSOUYE,-0.03321794932854269
ZIGUINCHOR,-0.03945565479280816
