system:index,Annee,Departement,MNDWI_Saison_Pluies,MNDWI_Saison_Seche,MNDWI_Variation,NDMI_Saison_Pluies,NDMI_Saison_Seche,NDWI_Saison_Pluies,NDWI_Saison_Seche,Province,.geo
00000000000000001543,2024,Banwa,-0.3158660195509237,-0.3865484850520547,0.070682465501131,0.05379276382866289,-0.12009720229258676,-0.36355778338249967,-0.27932900009478073,Boucle Du Mouhoun,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001544,2024,Kossi,-0.3434532426921977,-0.3764170747442642,0.032963832052066544,0.011375342066835988,-0.11963633768831618,-0.35375920047740006,-0.2689621372690842,Boucle Du Mouhoun,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001545,2024,Bale,-0.3308781106182381,-0.3791159304045309,0.048237819786292824,0.0074742314750702475,-0.12323630721855172,-0.337253149450633,-0.26841730493803795,Boucle Du Mouhoun,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001546,2024,Mouhoun,-0.3344173820205702,-0.377265947370963,0.042848565350392775,0.010971793179830214,-0.11396670893456863,-0.3439340890163965,-0.2750258194080635,Boucle Du Mouhoun,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001547,2024,Nayala,-0.35272813210701626,-0.3634024911641944,0.010674359057178118,-0.023155104591791365,-0.11198658329208624,-0.3316089753927494,-0.2619779282378292,Boucle Du Mouhoun,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001548,2024,Sourou,-0.35132838317506065,-0.3648326585646508,0.013504275389590148,-0.010096531083260588,-0.10779178604865684,-0.34205710911635245,-0.2676950358866271,Boucle Du Mouhoun,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001549,2024,Comoe,-0.28840055256060376,-0.36735536318854517,0.07895481062794141,0.09868024247474923,-0.07202206109453121,-0.3761281940678373,-0.30319354318627045,Cascades,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000154a,2024,Leraba,-0.2902696445845254,-0.38059469501327187,0.09032505042874645,0.049619086309848286,-0.06905667292270595,-0.33489576834070395,-0.31931347439653507,Cascades,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000154b,2024,Kadiogo,-0.3301068216563224,-0.3610239588693632,0.030917137213040846,-0.038384939239296534,-0.1123135131696,-0.2948251430189681,-0.25941645311899814,Centre,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000154c,2024,Boulgou,-0.33454210450895133,-0.3755244561299351,0.04098235162098379,-0.040818475172141336,-0.1275575896735758,-0.29806183423775934,-0.2613214380708459,Centre-est,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000154d,2024,Koulpelogo,-0.33101305625170097,-0.3758393387245754,0.04482628247287446,-0.011341264115109845,-0.12173996482724808,-0.320623968066539,-0.26665387519552425,Centre-est,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000154e,2024,Kouritenga,-0.33965345293043625,-0.374740698783512,0.035087245853075766,-0.08616495153750765,-0.1286768507955789,-0.26108429865787375,-0.2585997379758063,Centre-est,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000154f,2024,Bam,-0.3413701586957584,-0.3646813550460459,0.0233111963502875,-0.04220637824293018,-0.10960159403951367,-0.3030825985556462,-0.2659029661739944,Centre-nord,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001550,2024,Namentenga,-0.3401681497000521,-0.36966199162284147,0.029493841922789366,-0.06007141871901969,-0.1191007240142149,-0.28538185318710085,-0.2621433845569482,Centre-nord,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001551,2024,Sanmatenga,-0.3329283328689664,-0.3666415042115865,0.033713171342620085,-0.051562935240017975,-0.11253675886290104,-0.2860018519402967,-0.26511374632905566,Centre-nord,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001552,2024,Boulkiemde,-0.32322258016568445,-0.3613974960657737,0.03817491590008926,-0.009992327876550565,-0.10128876248096862,-0.31420424496183913,-0.2701748967927308,Centre-ouest,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001553,2024,Sanguie,-0.3228078901031946,-0.36901898526147164,0.04621109515827704,-0.012504779709484697,-0.11372269632318456,-0.31128778340125707,-0.2664514751178346,Centre-ouest,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001554,2024,Sissili,-0.3220288783923279,-0.3772771883262336,0.05524830993390567,0.04457603931552056,-0.11713736309645506,-0.3611932084473875,-0.27215850488627774,Centre-ouest,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001555,2024,Ziro,-0.3206165620589969,-0.3731159752108156,0.052499413151818664,0.04923429322810571,-0.10601630005767837,-0.3637833233364897,-0.2780756840603977,Centre-ouest,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001556,2024,Bazega,-0.3339374730701479,-0.37159724575137687,0.03765977268122894,0.00692983339628936,-0.10671074006615688,-0.33977716643052147,-0.2758243406881301,Centre-sud,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001557,2024,Nahouri,-0.3180944326836669,-0.3764907257944125,0.05839629311074562,0.012148263718903806,-0.10481813731218752,-0.32859326387322146,-0.2829528549859252,Centre-sud,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001558,2024,Zoundweogo,-0.3150128623935376,-0.3697386695947526,0.054725807201215004,5.987759009486735E-4,-0.10766441919919503,-0.31555124058677403,-0.2740466513313981,Centre-sud,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001559,2024,Gnagna,-0.35042646300195196,-0.3795696593663603,0.02914319636440832,-0.07317430922964141,-0.12625985892123598,-0.2844321092345098,-0.26634167592872093,Est,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155a,2024,Gourma,-0.3364697407901112,-0.37749618673407687,0.04102644594396565,-0.011008415053891718,-0.11557969233436675,-0.3262766082860394,-0.2739468586769371,Est,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155b,2024,Komonjdjari,-0.3616137004951853,-0.38791316417662647,0.02629946368144115,-0.0461385712999255,-0.1215837910352733,-0.3203484212829764,-0.279536682500508,Est,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155c,2024,Kompienga,-0.2883012533701483,-0.32672780528607437,0.03842655191592609,0.05349436469477585,-0.0939337601880363,-0.3360294848835962,-0.24061713654413902,Est,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155d,2024,Tapoa,-0.332211061165617,-0.3789597837989798,0.04674872263336283,-0.021668429179406236,-0.10945070967604505,-0.31247961786689327,-0.28126908113030924,Est,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155e,2024,Houet,-0.2803757502343416,-0.38352680054886235,0.10315105031452076,0.07058889176173742,-0.09379774418217329,-0.34354636677475875,-0.3004337938304116,Hauts-bassins,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000155f,2024,Kenedougou,-0.24545808446177148,-0.3812381360120005,0.13578005155022904,0.09404286222755608,-0.08117666260070494,-0.3297913056871783,-0.30914984016612357,Hauts-bassins,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001560,2024,Tuy,-0.32182164666947916,-0.3807342062282715,0.05891255955879232,0.03420766069650692,-0.11885823066633032,-0.3516914570476994,-0.27413925028245045,Hauts-bassins,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001561,2024,Loroum,-0.3572484935209191,-0.3677161343573263,0.010467640836407222,-0.0610333110640111,-0.11505003635302365,-0.301874556745069,-0.26377307054069493,Nord,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001562,2024,Passore,-0.3480505603457285,-0.3733320411787927,0.025281480833064196,-0.03113586114376812,-0.10898512891580862,-0.31988050485937175,-0.2756888995093525,Nord,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001563,2024,Yatenga,-0.3464262271944358,-0.36804900269731716,0.021622775502881386,-0.06167619533203626,-0.1196556639775419,-0.2905730773331921,-0.26016444338559824,Nord,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001564,2024,Zondoma,-0.341703421959723,-0.3764474317963763,0.03474400983665332,-0.015185975105781053,-0.1104883473362562,-0.32763806249532357,-0.27748565319425783,Nord,"{""type"":""MultiPoint"",""coordinates"":[]}"
