ADM1_NAME,ADM2_NAME,Periode,Annee,MNDWI_mean,MNDWI_stdDev,MNDWI_min,MNDWI_max,MNDWI_median,NDWI_mean,NDWI_stdDev,NDMI_mean,NDMI_stdDev
Boucle Du Mouhoun,Banwa,Saison_Pluies,2024,-0.3158660195509236,0.07438640446238631,-0.5126705653021443,0.3517889788456516,-0.3339967050937796,-0.3635577833824995,0.06811828484667065,0.05379276382866287,0.07037682005493102
Boucle Du Mouhoun,Kossi,Saison_Pluies,2024,-0.3434532426921978,0.06399967897939311,-0.5208506396411364,0.34048129616392664,-0.3535238189427033,-0.35375920047740006,0.05430173618362713,0.011375342066835986,0.07589997970194347
Boucle Du Mouhoun,Bale,Saison_Pluies,2024,-0.33087811061823796,0.05243734649000014,-0.4726991378675116,0.4236941633445773,-0.3379058864632078,-0.337253149450633,0.05477753395029447,0.007474231475070247,0.06355024488909104
Boucle Du Mouhoun,Mouhoun,Saison_Pluies,2024,-0.3344173820205705,0.05491436908912059,-0.47605469035607223,0.31408450704225355,-0.34572318806564456,-0.3439340890163966,0.05559803474904671,0.010971793179830219,0.07318971616475553
Boucle Du Mouhoun,Nayala,Saison_Pluies,2024,-0.35272813210701603,0.040014316107328106,-0.49420160570918825,0.36401128717169523,-0.3574371631810439,-0.3316089753927493,0.05601266384190798,-0.02315510459179136,0.07042203022206031
Boucle Du Mouhoun,Sourou,Saison_Pluies,2024,-0.3513283831750607,0.05482355708230505,-0.4886246122026887,0.45158002038735984,-0.36133059480844787,-0.3420571091163525,0.06187356913265641,-0.010096531083260592,0.06617060596794337
Cascades,Comoe,Saison_Pluies,2024,-0.28840055256060376,0.05617506465203652,-0.48758207250927776,0.3972086005281026,-0.2949309504129121,-0.37612819406783743,0.058979199375521776,0.09868024247474921,0.0613176146058086
Cascades,Leraba,Saison_Pluies,2024,-0.2902696445845254,0.08305385328693012,-0.49309618534987126,0.40861906259830133,-0.31054974264633667,-0.33489576834070395,0.07996568598542882,0.0496190863098483,0.06006024558121712
Centre,Kadiogo,Saison_Pluies,2024,-0.3301068216563225,0.06125523614159076,-0.46975806451612906,0.4359161349134002,-0.33790113217083606,-0.29482514301896817,0.07006584864953823,-0.03838493923929654,0.07395351213213511
Centre-est,Boulgou,Saison_Pluies,2024,-0.3345421045089514,0.08538415884438648,-0.4681029658645775,0.46053946053946054,-0.34962553385519474,-0.29806183423775917,0.06212347793867794,-0.040818475172141336,0.07227392283805276
Centre-est,Koulpelogo,Saison_Pluies,2024,-0.3310130562517011,0.06412859585242994,-0.46117436356658564,0.4604404567699837,-0.3378890932337311,-0.320623968066539,0.0630805789170708,-0.011341264115109845,0.06335167631175721
Centre-est,Kouritenga,Saison_Pluies,2024,-0.3396534529304362,0.04643934539412927,-0.46346025384101536,0.45570079883805376,-0.3457135713948218,-0.26108429865787364,0.044335572766592196,-0.08616495153750765,0.049118948614844934
Centre-nord,Bam,Saison_Pluies,2024,-0.3413701586957583,0.062258547459620915,-0.49885555957113603,0.45601374570446734,-0.3496317526859312,-0.3030825985556462,0.06452209042463387,-0.04220637824293019,0.07683829227302505
Centre-nord,Namentenga,Saison_Pluies,2024,-0.3401681497000524,0.053933276906001804,-0.48490945674044267,0.41626047962565804,-0.3457047069316692,-0.28538185318710113,0.059400975584373725,-0.060071418719019734,0.07854008181056145
Centre-nord,Sanmatenga,Saison_Pluies,2024,-0.3329283328689664,0.055885522296977755,-0.48899741453605283,0.43246492985971946,-0.3339862783649393,-0.28600185194029665,0.055737823088161734,-0.051562935240017975,0.06833026048847532
Centre-ouest,Boulkiemde,Saison_Pluies,2024,-0.32322258016568445,0.07921776554294076,-0.4667053532569273,0.46788221733207586,-0.3339964567729708,-0.31420424496183924,0.06408189709097564,-0.009992327876550562,0.05753990518096964
Centre-ouest,Sanguie,Saison_Pluies,2024,-0.32280789010319466,0.05602925040950332,-0.4717592892808508,0.4766510660426417,-0.33008623041792085,-0.3112877834012571,0.055911020260251736,-0.012504779709484699,0.06543265929962695
Centre-ouest,Sissili,Saison_Pluies,2024,-0.32202887839232774,0.03148895778205075,-0.4552061937114868,0.3513417451572774,-0.3261782368244647,-0.3611932084473874,0.040885188561413724,0.04457603931552055,0.05824604388700093
Centre-ouest,Ziro,Saison_Pluies,2024,-0.3206165620589969,0.026130184214207805,-0.49384525205158264,0.3909702209414025,-0.32226089809901237,-0.3637833233364896,0.04035561901137882,0.04923429322810569,0.05664165022858053
Centre-sud,Bazega,Saison_Pluies,2024,-0.3339374730701481,0.041587780308738054,-0.4906122448979592,0.43648263131397885,-0.3378969072828039,-0.3397771664305214,0.04800220833259128,0.00692983339628936,0.06521301487662001
Centre-sud,Nahouri,Saison_Pluies,2024,-0.3180944326836669,0.035114016251935366,-0.43875278396436523,0.34704112337011034,-0.3183616824851828,-0.3285932638732214,0.0478896782949613,0.012148263718903811,0.06924743562871467
Centre-sud,Zoundweogo,Saison_Pluies,2024,-0.31501286239353765,0.09293971275369327,-0.4561810004088865,0.4564863397865026,-0.3300843666153286,-0.3155512405867739,0.07093883886425345,5.98775900948673E-4,0.07297775182472299
Est,Gnagna,Saison_Pluies,2024,-0.350426463001952,0.06517053432626843,-0.4802087310678376,0.4711852120333454,-0.3574413662057417,-0.2844321092345098,0.05514266473807397,-0.07317430922964141,0.06991298830566155
Est,Gourma,Saison_Pluies,2024,-0.33646974079011105,0.03844588918456149,-0.4569912019195812,0.478850615741567,-0.3418073754440388,-0.3262766082860393,0.04894800074508559,-0.011008415053891711,0.06375129031086717
Est,Komonjdjari,Saison_Pluies,2024,-0.36161370049518526,0.03848301282198154,-0.5038146369030799,0.3609051892313695,-0.3652503787635909,-0.32034842128297647,0.05006539301340237,-0.046138571299925504,0.06095632422455347
Est,Kompienga,Saison_Pluies,2024,-0.28830125337014817,0.10003079188873741,-0.48825294591231794,0.46685761047463176,-0.3027281435824221,-0.33602948488359624,0.10246239346572354,0.05349436469477583,0.0649608751696498
Est,Tapoa,Saison_Pluies,2024,-0.33221106116561705,0.04616928682850706,-0.5198525054322776,0.24843423799582465,-0.3379084496207319,-0.3124796178668933,0.054818636785960356,-0.021668429179406222,0.07955682053610036
Hauts-bassins,Houet,Saison_Pluies,2024,-0.28037575023434147,0.11348415094805703,-0.5005577689243028,0.47736250379823764,-0.314458492871833,-0.34354636677475886,0.10719224248388569,0.07058889176173747,0.067039358739928
Hauts-bassins,Kenedougou,Saison_Pluies,2024,-0.24545808446177153,0.1292110632706706,-0.47542003733665217,0.41224686595949855,-0.29495766304701193,-0.32979130568717835,0.13503919254709268,0.09404286222755603,0.06290415346804618
Hauts-bassins,Tuy,Saison_Pluies,2024,-0.3218216466694793,0.04232577588708821,-0.48274450961669624,0.43524723781923563,-0.32617496752897346,-0.35169145704769944,0.0550343670126691,0.03420766069650693,0.07272355238283436
Nord,Loroum,Saison_Pluies,2024,-0.357248493520919,0.04487804374301,-0.5018159048215404,0.3976717987232445,-0.36132419000931837,-0.30187455674506913,0.06293216114485149,-0.061033311064011095,0.07760395214933494
Nord,Passore,Saison_Pluies,2024,-0.34805056034572857,0.0660921792713272,-0.5104534346999728,0.4630775577557756,-0.35352946547164404,-0.3198805048593717,0.06500179711039356,-0.03113586114376813,0.06747592521810378
Nord,Yatenga,Saison_Pluies,2024,-0.3464262271944359,0.08023988017762473,-0.5336172409343141,0.4725859247135843,-0.3554903782619192,-0.2905730773331922,0.07207439504945903,-0.06167619533203632,0.0813444676184331
Nord,Zondoma,Saison_Pluies,2024,-0.34170342195972286,0.051067814286240396,-0.4721462501799338,0.4143726157335808,-0.349602870944998,-0.3276380624953235,0.05995423204667602,-0.015185975105781046,0.07152517857389344
Plateau Central,Ganzourgou,Saison_Pluies,2024,-0.34391276383556474,0.06662257272174199,-0.47368421052631576,0.4557202584568605,-0.3535404374204363,-0.277692682787977,0.05084338615281759,-0.0734498887425789,0.05465563458278819
Plateau Central,Kourweogo,Saison_Pluies,2024,-0.34957048176609395,0.04375498558876706,-0.47823480932044654,0.37362637362637363,-0.3535096522478448,-0.3218046439864649,0.05033594704420265,-0.030895492986486327,0.0581519296608885
Plateau Central,Oubritenga,Saison_Pluies,2024,-0.34004914363356065,0.10262101382004937,-0.47899511514305654,0.4480780263912794,-0.3613195633963719,-0.2932447624666049,0.07665468638990594,-0.052361233759013415,0.07599598325104756
Sahel,Oudalan,Saison_Pluies,2024,-0.3351738225021637,0.05496720757233085,-0.49110683131301686,0.4350262697022767,-0.3418052438114052,-0.2661550919699523,0.05479103727331061,-0.07543702774237787,0.07118610333866486
