ADM1_NAME,ADM2_NAME,Periode,Annee,MNDWI_mean,MNDWI_stdDev,MNDWI_min,MNDWI_max,MNDWI_median,NDWI_mean,NDWI_stdDev,NDMI_mean,NDMI_stdDev
Boucle Du Mouhoun,Banwa,Saison_Pluies,2022,-0.48895648162737904,0.06256936782469105,-0.6741193840961822,0.3230884557721139,-0.501984943846766,-0.49235995882266004,0.070605303256759,0.005655107093752247,0.0801331068692678
Boucle Du Mouhoun,Kossi,Saison_Pluies,2022,-0.5074274178814046,0.05833678659805465,-0.7356857523302264,0.7437544610992148,-0.5117208872832056,-0.4719208461337889,0.07397968699944604,-0.04464300328063945,0.09478452963554884
Boucle Du Mouhoun,Bale,Saison_Pluies,2022,-0.5180730973335518,0.06145106690108149,-0.6892642809513225,0.7420449724225711,-0.5273596985585198,-0.5173965220809852,0.08481356647292576,0.0030200628095119766,0.09286594948541899
Boucle Du Mouhoun,Mouhoun,Saison_Pluies,2022,-0.5176879693951099,0.046398793223222545,-0.6756985605419137,0.6644798500468604,-0.5195525247096089,-0.5131204705449196,0.07369321760360145,-0.0028478188711054887,0.09266110830085848
Boucle Du Mouhoun,Nayala,Saison_Pluies,2022,-0.5145237006193126,0.05401339208042166,-0.7073948574845526,0.7279388340235744,-0.5195619152481827,-0.5057763057779369,0.08563981039568971,-0.007451195324393594,0.09715563912203422
Boucle Du Mouhoun,Sourou,Saison_Pluies,2022,-0.507757927763422,0.09104823498290494,-0.6994894237782641,0.788135593220339,-0.519541262045598,-0.4775744619796109,0.10665504653304728,-0.03661399953141137,0.0907514031695905
Cascades,Comoe,Saison_Pluies,2022,-0.4935861813159581,0.056278419363370594,-0.6917670682730924,0.6932907348242812,-0.5039610783180818,-0.5600087174487953,0.06637076348484418,0.09378434699015004,0.0801503006573181
Cascades,Leraba,Saison_Pluies,2022,-0.5059127297730378,0.0666234979741577,-0.7175727498308143,0.6932016269610691,-0.5117460501524086,-0.5546571855760974,0.06944488424844458,0.06903857754868024,0.07812205450641253
Centre,Kadiogo,Saison_Pluies,2022,-0.486262064919539,0.08653830757636778,-0.6545718432510885,0.7535736482287135,-0.5039778779638245,-0.4447670436979567,0.10752654159136309,-0.04920835486652725,0.09684088500158805
Centre-est,Boulgou,Saison_Pluies,2022,-0.46631526104296434,0.170052345584443,-0.6183264641042845,0.8474378881987578,-0.49615504042998,-0.46628531328201744,0.10898027649317373,2.4553402492523874E-4,0.12345024025198477
